id,title,reason,song_count,artist_id,release_year
300,400,numeric_only,1,1,
199,403,numeric_only,1,1,
187,405,numeric_only,1,1,
294,407,numeric_only,1,1,
198,410,numeric_only,1,1,
293,411,numeric_only,1,1,
297,412,numeric_only,1,1,
371,416,numeric_only,1,1,
291,422,numeric_only,1,1,
290,423,numeric_only,1,1,
279,426,numeric_only,1,1,
288,430,numeric_only,1,1,
287,431,numeric_only,1,1,
196,432,numeric_only,1,1,
380,436,numeric_only,1,1,
182,444,numeric_only,1,1,
329,458,numeric_only,1,1,
169,464,numeric_only,1,1,
165,472,numeric_only,1,1,
164,473,numeric_only,1,1,
452,474,numeric_only,1,1,
313,476,numeric_only,1,1,
314,477,numeric_only,1,1,
155,497,numeric_only,1,1,
154,498,numeric_only,1,1,
278,499,numeric_only,1,1,
212,79,numeric_only,1,1,
543,92,numeric_only,1,1,
299,401,numeric_only,0,1,
